apps_cutoff,apps_total,bonus,penalty,runs,threshold,NUM COMPARISONS,FALSE NEGATIVES TOP 10,FALSE NEGATIVES TOP 20,FALSE NEGATIVES TOP 40
50,200,1,2,100,-5,761.52,1.62,4.1,11.44
50,200,1,2,100,-7,1075.81,0.93,2.62,9.2
50,200,1,2,100,-9,1405.56,0.49,1.74,7.59
50,200,1,2,100,-11,1727.52,0.48,1.28,6.33
50,200,2,2,100,-5,1798.63,0.41,1.45,5.6
50,200,2,2,100,-7,2554.18,0.16,0.43,3.27
50,200,2,2,100,-9,3319.04,0.08,0.22,2.35
50,200,2,2,100,-11,4079.64,0.04,0.11,1.45
50,250,1,2,100,-5,1019.51,1.64,4.26,11.82
50,250,1,2,100,-7,1424.89,0.99,2.82,9.62
50,250,1,2,100,-9,1854.45,0.79,2.26,7.83
50,250,1,2,100,-11,2269.01,0.39,1.42,6.12
50,250,2,2,100,-5,2596.47,0.46,1.32,4.7
50,250,2,2,100,-7,3668.42,0.14,0.41,2.77
50,250,2,2,100,-9,4675.38,0.07,0.19,1.68
50,250,2,2,100,-11,5784.7,0.01,0.03,1.04
50,300,1,2,100,-5,1271.48,1.47,4.21,11.97
50,300,1,2,100,-7,1784.86,1.06,2.81,9.71
50,300,1,2,100,-9,2300.14,0.68,2.28,7.92
50,300,1,2,100,-11,2817.91,0.47,1.43,6.73
50,300,2,2,100,-5,3467.81,0.43,1.13,4.21
50,300,2,2,100,-7,4836.02,0.15,0.55,2.28
50,300,2,2,100,-9,6254.08,0.09,0.21,1.34
50,300,2,2,100,-11,7596.91,0.02,0.05,0.81
100,200,1,2,100,-5,536.7,0.81,1.92,5.36
100,200,1,2,100,-7,810.94,0.44,1.11,3.54
100,200,1,2,100,-9,1067.53,0.2,0.72,2.83
100,200,1,2,100,-11,1316.69,0.17,0.5,1.74
100,200,2,2,100,-5,952.55,0.4,1.14,3.48
100,200,2,2,100,-7,1414.42,0.15,0.53,1.85
100,200,2,2,100,-9,1928.92,0.11,0.23,0.79
100,200,2,2,100,-11,2395.19,0.03,0.09,0.34
100,250,1,2,100,-5,794.12,1.18,2.39,6.45
100,250,1,2,100,-7,1148.41,0.49,1.44,4.56
100,250,1,2,100,-9,1484.54,0.35,0.84,2.75
100,250,1,2,100,-11,1833.24,0.25,0.54,2.15
100,250,2,2,100,-5,1521.14,0.44,0.95,3.21
100,250,2,2,100,-7,2274.6,0.12,0.37,1.41
100,250,2,2,100,-9,2959.93,0.02,0.11,0.45
100,250,2,2,100,-11,3734.18,0.04,0.05,0.3
100,300,1,2,100,-5,1017.27,1.42,2.89,6.99
100,300,1,2,100,-7,1465.8,0.69,1.74,4.52
100,300,1,2,100,-9,1914.66,0.32,0.8,3.18
100,300,1,2,100,-11,2369.83,0.17,0.59,2.37
100,300,2,2,100,-5,2166.68,0.39,0.99,2.8
100,300,2,2,100,-7,3142.29,0.19,0.43,1.38
100,300,2,2,100,-9,4136.58,0.06,0.13,0.57
100,300,2,2,100,-11,5115.49,0.0,0.03,0.26
